"","Transect","Station","Tile.Type","Date","Season","Year","Altitude","Emersion.Rate","AltGroup","Tile","Tile.Date","S","Hill_ev","Hill_dom","Total_cov"
"1","1","1","R",2022-04-01,"Spring",2022,53.7460165,0.90018455,"[52.0,54.2]","1 1 R","1 1 R 2022-04-01",7,3.19839231119238,2.3603870249318,0.798128056999054
"2","1","1","R",2021-10-09,"Autumn",2021,53.7460165,0.90018455,"[52.0,54.2]","1 1 R","1 1 R 2021-10-09",9,2.70736193415748,1.88653981399011,0.890345492346234
"3","1","1","R",2020-04-12,"Spring",2020,53.7460165,0.90018455,"[52.0,54.2]","1 1 R","1 1 R 2020-04-12",7,2.69180356579289,2.26983371755656,0.713168307325277
"4","1","1","R",2021-07-13,"Summer",2021,53.7460165,0.90018455,"[52.0,54.2]","1 1 R","1 1 R 2021-07-13",9,2.45711504582028,1.68694621000907,0.821911831252878
"5","1","1","R",2020-10-17,"Autumn",2020,53.7460165,0.90018455,"[52.0,54.2]","1 1 R","1 1 R 2020-10-17",8,3.15793366039958,2.41320317662347,0.781332682366468
"6","1","1","R",2022-01-20,"Winter",2022,53.7460165,0.90018455,"[52.0,54.2]","1 1 R","1 1 R 2022-01-20",7,2.82024550697035,2.02120713453016,0.820093524184057
"7","1","1","R",2020-07-20,"Summer",2020,53.7460165,0.90018455,"[52.0,54.2]","1 1 R","1 1 R 2020-07-20",8,2.64230291310253,2.12357739354756,0.993909263785175
"8","1","1","R",2020-01-21,"Winter",2020,53.7460165,0.90018455,"[52.0,54.2]","1 1 R","1 1 R 2020-01-21",8,2.55806034867756,2.21184424004449,0.907657335606714
"9","1","1","R",2021-04-27,"Spring",2021,53.7460165,0.90018455,"[52.0,54.2]","1 1 R","1 1 R 2021-04-27",8,3.4847674040264,2.53914795345334,0.627951769989487
"10","1","1","R",2019-10-27,"Autumn",2019,53.7460165,0.90018455,"[52.0,54.2]","1 1 R","1 1 R 2019-10-27",8,2.56370673267722,2.20304360324648,1.01920235844511
"11","1","1","S",2022-04-01,"Spring",2022,53.59181976,0.891286889,"[52.0,54.2]","1 1 S","1 1 S 2022-04-01",6,2.82119946706827,2.05511541536124,0.909910506658245
"12","1","1","S",2021-10-09,"Autumn",2021,53.59181976,0.891286889,"[52.0,54.2]","1 1 S","1 1 S 2021-10-09",9,3.15685486220093,2.19430421793339,0.962846720376616
"13","1","1","S",2020-04-12,"Spring",2020,53.59181976,0.891286889,"[52.0,54.2]","1 1 S","1 1 S 2020-04-12",8,2.63103007757421,1.82045815890437,0.603724613555291
"14","1","1","S",2021-07-13,"Summer",2021,53.59181976,0.891286889,"[52.0,54.2]","1 1 S","1 1 S 2021-07-13",9,3.17009750272569,2.11821942372684,0.986465209484507
"15","1","1","S",2020-10-17,"Autumn",2020,53.59181976,0.891286889,"[52.0,54.2]","1 1 S","1 1 S 2020-10-17",7,3.22914052841202,2.51584447573224,0.935416646848989
"16","1","1","S",2022-01-20,"Winter",2022,53.59181976,0.891286889,"[52.0,54.2]","1 1 S","1 1 S 2022-01-20",7,2.90243963291288,2.08402687737982,0.932542349307533
"17","1","1","S",2020-07-20,"Summer",2020,53.59181976,0.891286889,"[52.0,54.2]","1 1 S","1 1 S 2020-07-20",8,3.20815185360281,2.53682560645569,1.07406206896552
"18","1","1","S",2020-01-21,"Winter",2020,53.59181976,0.891286889,"[52.0,54.2]","1 1 S","1 1 S 2020-01-21",7,1.91913011376219,1.39008313373204,0.845846730083234
"19","1","1","S",2021-04-27,"Spring",2021,53.59181976,0.891286889,"[52.0,54.2]","1 1 S","1 1 S 2021-04-27",7,3.49827762754803,2.88865783809701,0.750240234057199
"20","1","1","S",2019-10-27,"Autumn",2019,53.59181976,0.891286889,"[52.0,54.2]","1 1 S","1 1 S 2019-10-27",7,1.7649241172149,1.30436070352906,0.998895243757432
"21","1","2","R",2022-04-01,"Spring",2022,52.34483314,0.838406288,"[52.0,54.2]","1 2 R","1 2 R 2022-04-01",5,2.59462403806123,2.02429635112834,0.697087539525338
"22","1","2","R",2021-10-09,"Autumn",2021,52.34483314,0.838406288,"[52.0,54.2]","1 2 R","1 2 R 2021-10-09",6,2.36343634169118,1.82372164894718,0.830021444757038
"23","1","2","R",2020-04-12,"Spring",2020,52.34483314,0.838406288,"[52.0,54.2]","1 2 R","1 2 R 2020-04-12",8,2.34053194698559,1.89601363116396,0.760852397223571
"24","1","2","R",2021-07-13,"Summer",2021,52.34483314,0.838406288,"[52.0,54.2]","1 2 R","1 2 R 2021-07-13",9,2.29746225924888,1.72525073203983,0.843765098023236
"25","1","2","R",2020-10-17,"Autumn",2020,52.34483314,0.838406288,"[52.0,54.2]","1 2 R","1 2 R 2020-10-17",8,2.82164049261629,2.14190138774137,0.840842553511157
"26","1","2","R",2022-01-20,"Winter",2022,52.34483314,0.838406288,"[52.0,54.2]","1 2 R","1 2 R 2022-01-20",5,2.54645573611162,1.96333035589613,0.736595052829071
"27","1","2","R",2020-07-20,"Summer",2020,52.34483314,0.838406288,"[52.0,54.2]","1 2 R","1 2 R 2020-07-20",7,2.68165336052244,2.01559248282906,0.971696030171301
"28","1","2","R",2020-01-21,"Winter",2020,52.34483314,0.838406288,"[52.0,54.2]","1 2 R","1 2 R 2020-01-21",8,2.37970343080456,2.0013216146474,0.87053684540038
"29","1","2","R",2021-04-27,"Spring",2021,52.34483314,0.838406288,"[52.0,54.2]","1 2 R","1 2 R 2021-04-27",5,2.94507911137296,2.34202173283496,0.642190133320929
"30","1","2","R",2019-10-27,"Autumn",2019,52.34483314,0.838406288,"[52.0,54.2]","1 2 R","1 2 R 2019-10-27",8,2.31415528134661,2.04048197100471,0.982963174152088
"31","1","2","S",2022-04-01,"Spring",2022,52.40084457,0.840258836,"[52.0,54.2]","1 2 S","1 2 S 2022-04-01",7,3.14689312698001,2.45228724066899,0.965029049895771
