"","Transect","Station","Date","Tile.Type","Tile","Tile.Date","Taxa","cover_sum"
"1",1,1,"01/04/2022","R","1 1 R","1 1 R 01/04/2022","AM",0.0927776665439823
"2",1,1,"01/04/2022","R","1 1 R","1 1 R 01/04/2022","AMR",0.000968370986920333
"3",1,1,"01/04/2022","R","1 1 R","1 1 R 01/04/2022","BS",0.481010662740768
"4",1,1,"01/04/2022","R","1 1 R","1 1 R 01/04/2022","CHM",0.0159871053858422
"5",1,1,"01/04/2022","R","1 1 R","1 1 R 01/04/2022","LN",0.00205303210463734
"6",1,1,"01/04/2022","R","1 1 R","1 1 R 01/04/2022","ME",0.0925153900134953
"7",1,1,"01/04/2022","R","1 1 R","1 1 R 01/04/2022","PV",0.101808056925531
"8",1,1,"01/04/2022","R","1 1 R","1 1 R 01/04/2022","SB",0.492018435038646
"9",1,1,"01/04/2022","S","1 1 S","1 1 S 01/04/2022","AM",0.143153526970954
"10",1,1,"01/04/2022","S","1 1 S","1 1 S 01/04/2022","BS",0.132780082987552
"11",1,1,"01/04/2022","S","1 1 S","1 1 S 01/04/2022","CHM",0.0435684647302905
"12",1,1,"01/04/2022","S","1 1 S","1 1 S 01/04/2022","LN",0.00255374554102259
"13",1,1,"01/04/2022","S","1 1 S","1 1 S 01/04/2022","ME",0.0892116182572614
"14",1,1,"01/04/2022","S","1 1 S","1 1 S 01/04/2022","PV",0.021464644934651
"15",1,1,"01/04/2022","S","1 1 S","1 1 S 01/04/2022","SB",0.609958506224066
"16",1,1,"09/10/2021","R","1 1 R","1 1 R 09/10/2021","AM",0.121665108084898
"17",1,1,"09/10/2021","R","1 1 R","1 1 R 09/10/2021","AMR",0.00157657550535077
"18",1,1,"09/10/2021","R","1 1 R","1 1 R 09/10/2021","BS",0.407860130045393
"19",1,1,"09/10/2021","R","1 1 R","1 1 R 09/10/2021","CHM",0.0164821680775365
"20",1,1,"09/10/2021","R","1 1 R","1 1 R 09/10/2021","LN",0.00435350772889417
"21",1,1,"09/10/2021","R","1 1 R","1 1 R 09/10/2021","LS",0.000667895362663496
"22",1,1,"09/10/2021","R","1 1 R","1 1 R 09/10/2021","ME",0.0692482277021224
"23",1,1,"09/10/2021","R","1 1 R","1 1 R 09/10/2021","PD",0.0036372175980975
"24",1,1,"09/10/2021","R","1 1 R","1 1 R 09/10/2021","PV",0.0413843660812975
"25",1,1,"09/10/2021","R","1 1 R","1 1 R 09/10/2021","SB",0.631330426205374
"26",1,1,"09/10/2021","S","1 1 S","1 1 S 09/10/2021","AM",0.171428571428571
"27",1,1,"09/10/2021","S","1 1 S","1 1 S 09/10/2021","AMR",0.000771343638525565
"28",1,1,"09/10/2021","S","1 1 S","1 1 S 09/10/2021","BS",0.126530612244898
"29",1,1,"09/10/2021","S","1 1 S","1 1 S 09/10/2021","CHM",0.0448979591836735
"30",1,1,"09/10/2021","S","1 1 S","1 1 S 09/10/2021","LN",0.0224650416171225
"31",1,1,"09/10/2021","S","1 1 S","1 1 S 09/10/2021","LS",0.00225909631391201
"32",1,1,"09/10/2021","S","1 1 S","1 1 S 09/10/2021","ME",0.0693877551020408
"33",1,1,"09/10/2021","S","1 1 S","1 1 S 09/10/2021","PV",0.0291879735009343
"34",1,1,"09/10/2021","S","1 1 S","1 1 S 09/10/2021","SB",0.620408163265306
"35",1,1,"09/10/2021","S","1 1 S","1 1 S 09/10/2021","US",0.00204081632653061
"36",1,1,"12/04/2020","R","1 1 R","1 1 R 12/04/2020","AM",0.264442538093486
"37",1,1,"12/04/2020","R","1 1 R","1 1 R 12/04/2020","BS",0.551132622745676
"38",1,1,"12/04/2020","R","1 1 R","1 1 R 12/04/2020","CHM",0.0113569515396884
"39",1,1,"12/04/2020","R","1 1 R","1 1 R 12/04/2020","LN",0.00830701545778835
"40",1,1,"12/04/2020","R","1 1 R","1 1 R 12/04/2020","LS",0.00150558858501784
"41",1,1,"12/04/2020","R","1 1 R","1 1 R 12/04/2020","ME",0.00154338461538462
"42",1,1,"12/04/2020","R","1 1 R","1 1 R 12/04/2020","PV",0.0352463228383523
"43",1,1,"12/04/2020","R","1 1 R","1 1 R 12/04/2020","SB",0.390766506195559
"44",1,1,"12/04/2020","S","1 1 S","1 1 S 12/04/2020","AM",0.438
"45",1,1,"12/04/2020","S","1 1 S","1 1 S 12/04/2020","BS",0.502
"46",1,1,"12/04/2020","S","1 1 S","1 1 S 12/04/2020","CHM",0.026
"47",1,1,"12/04/2020","S","1 1 S","1 1 S 12/04/2020","LN",0.0104940546967895
"48",1,1,"12/04/2020","S","1 1 S","1 1 S 12/04/2020","LS",0.00505505350772889
"49",1,1,"12/04/2020","S","1 1 S","1 1 S 12/04/2020","ME",0.000198216409036861
"50",1,1,"12/04/2020","S","1 1 S","1 1 S 12/04/2020","PD",0.0035705112960761
"51",1,1,"12/04/2020","S","1 1 S","1 1 S 12/04/2020","PV",0.0724067776456599
"52",1,1,"12/04/2020","S","1 1 S","1 1 S 12/04/2020","SB",0.048
"53",1,1,"13/07/2021","R","1 1 R","1 1 R 13/07/2021","AM",0.0876524500061342
"54",1,1,"13/07/2021","R","1 1 R","1 1 R 13/07/2021","AMR",0.00367931034482759
"55",1,1,"13/07/2021","R","1 1 R","1 1 R 13/07/2021","BS",0.431564158508159
"56",1,1,"13/07/2021","R","1 1 R","1 1 R 13/07/2021","CHM",0.0206172592319961
"57",1,1,"13/07/2021","R","1 1 R","1 1 R 13/07/2021","LN",0.00274292508917955
"58",1,1,"13/07/2021","R","1 1 R","1 1 R 13/07/2021","LS",0.000428775267538644
"59",1,1,"13/07/2021","R","1 1 R","1 1 R 13/07/2021","ME",0.0496210938535148
"60",1,1,"13/07/2021","R","1 1 R","1 1 R 13/07/2021","PV",0.0309648077921619
"61",1,1,"13/07/2021","R","1 1 R","1 1 R 13/07/2021","SB",0.623613503128451
"62",1,1,"13/07/2021","R","1 1 R","1 1 R 13/07/2021","SPT",0.00259170653907496
"63",1,1,"13/07/2021","S","1 1 S","1 1 S 13/07/2021","AM",0.172413793103448
"64",1,1,"13/07/2021","S","1 1 S","1 1 S 13/07/2021","AMR",0.0017179548156956
"65",1,1,"13/07/2021","S","1 1 S","1 1 S 13/07/2021","BS",0.141987829614604
"66",1,1,"13/07/2021","S","1 1 S","1 1 S 13/07/2021","CHM",0.0324543610547667
"67",1,1,"13/07/2021","S","1 1 S","1 1 S 13/07/2021","LN",0.0124921521997622
"68",1,1,"13/07/2021","S","1 1 S","1 1 S 13/07/2021","LS",0.0109152199762188
"69",1,1,"13/07/2021","S","1 1 S","1 1 S 13/07/2021","ME",0.0324543610547667
"70",1,1,"13/07/2021","S","1 1 S","1 1 S 13/07/2021","PV",0.0179902846751067
"71",1,1,"13/07/2021","S","1 1 S","1 1 S 13/07/2021","SB",0.651115618661258
"72",1,1,"13/07/2021","S","1 1 S","1 1 S 13/07/2021","US1",0.0549114639434847
"73",1,1,"17/10/2020","R","1 1 R","1 1 R 17/10/2020","AM",0.242835153478101
"74",1,1,"17/10/2020","R","1 1 R","1 1 R 17/10/2020","BS",0.499531278125384
"75",1,1,"17/10/2020","R","1 1 R","1 1 R 17/10/2020","CHM",0.0319742107716844
