"","EmGroup","Response","Predictor","Std.Estimate","P.Value","Var.9"
"[0.1934,0.296].1","[0.1934,0.296]","Consumer_mean_log_z","Emersion.Rate_z",-0.2324,0.3285,""
"[0.1934,0.296].2","[0.1934,0.296]","Consumer_mean_log_z","Tile.Type2",-0.7293,0.0047,"**"
"[0.1934,0.296].3","[0.1934,0.296]","Barnacles1_mean_z","Emersion.Rate_z",0.1755,0.0282,"*"
"[0.1934,0.296].4","[0.1934,0.296]","Barnacles1_mean_z","Tile.Type2",-0.4184,0,"***"
"[0.1934,0.296].5","[0.1934,0.296]","Barnacles1_mean_z","Consumer_mean_log_z",-0.0439,0.2911,""
"[0.1934,0.296].6","[0.1934,0.296]","Barnacles2_mean_sqrt_z","Emersion.Rate_z",-0.1497,0.5753,""
"[0.1934,0.296].7","[0.1934,0.296]","Barnacles2_mean_sqrt_z","Tile.Type2",0.1257,0.3008,""
"[0.1934,0.296].8","[0.1934,0.296]","Barnacles2_mean_sqrt_z","Consumer_mean_log_z",0.0211,0.766,""
"[0.1934,0.296].9","[0.1934,0.296]","Eph_macroalgae_mean_sqrt_z","Emersion.Rate_z",-0.6288,0,"***"
"[0.1934,0.296].10","[0.1934,0.296]","Eph_macroalgae_mean_sqrt_z","Tile.Type2",-0.2151,0.0546,""
"[0.1934,0.296].11","[0.1934,0.296]","Eph_macroalgae_mean_sqrt_z","Consumer_mean_log_z",-0.1216,0.0264,"*"
"[0.1934,0.296].12","[0.1934,0.296]","S_mean_log_z","Emersion.Rate_z",-0.614,0,"***"
"[0.1934,0.296].13","[0.1934,0.296]","S_mean_log_z","Tile.Type2",0.2714,0.2274,""
"[0.1934,0.296].14","[0.1934,0.296]","S_mean_log_z","Consumer_mean_log_z",-0.1109,0.2318,""
"[0.1934,0.296].15","[0.1934,0.296]","Pielou_mean_z","Emersion.Rate_z",-0.4415,3e-04,"***"
"[0.1934,0.296].16","[0.1934,0.296]","Pielou_mean_z","Tile.Type2",0.396,0.0284,"*"
"[0.1934,0.296].17","[0.1934,0.296]","Pielou_mean_z","Consumer_mean_log_z",0.0303,0.6934,""
"[0.1934,0.296].18","[0.1934,0.296]","Pop_stab_log_z","Emersion.Rate_z",0.0794,0.3332,""
"[0.1934,0.296].19","[0.1934,0.296]","Pop_stab_log_z","Tile.Type2",0.3259,8e-04,"***"
"[0.1934,0.296].20","[0.1934,0.296]","Pop_stab_log_z","S_mean_log_z",-0.127,0.0107,"*"
"[0.1934,0.296].21","[0.1934,0.296]","Pop_stab_log_z","Pielou_mean_z",-0.0139,0.8118,""
"[0.1934,0.296].22","[0.1934,0.296]","Pop_stab_log_z","Barnacles1_mean_z",-0.1871,0.0345,"*"
"[0.1934,0.296].23","[0.1934,0.296]","Pop_stab_log_z","Barnacles2_mean_sqrt_z",0.1315,0.0037,"**"
"[0.1934,0.296].24","[0.1934,0.296]","Pop_stab_log_z","Consumer_mean_log_z",-0.001,0.9753,""
"[0.1934,0.296].25","[0.1934,0.296]","Pop_stab_log_z","Eph_macroalgae_mean_sqrt_z",-0.3952,0,"***"
"[0.1934,0.296].26","[0.1934,0.296]","Asynchrony_corr_time_z","Emersion.Rate_z",-0.2376,0.0227,"*"
"[0.1934,0.296].27","[0.1934,0.296]","Asynchrony_corr_time_z","Tile.Type2",-0.0964,0.34,""
"[0.1934,0.296].28","[0.1934,0.296]","Asynchrony_corr_time_z","S_mean_log_z",0.1586,0.007,"**"
"[0.1934,0.296].29","[0.1934,0.296]","Asynchrony_corr_time_z","Pielou_mean_z",-0.126,0.072,""
"[0.1934,0.296].30","[0.1934,0.296]","Asynchrony_corr_time_z","Barnacles1_mean_z",0.3343,0.0033,"**"
"[0.1934,0.296].31","[0.1934,0.296]","Asynchrony_corr_time_z","Barnacles2_mean_sqrt_z",0.0986,0.0715,""
"[0.1934,0.296].32","[0.1934,0.296]","Asynchrony_corr_time_z","Consumer_mean_log_z",-0.0094,0.8092,""
"[0.1934,0.296].33","[0.1934,0.296]","Asynchrony_corr_time_z","Eph_macroalgae_mean_sqrt_z",-0.1291,0.1619,""
"[0.1934,0.296].34","[0.1934,0.296]","Statistical_averaging_z","Emersion.Rate_z",-0.1568,0.2635,""
"[0.1934,0.296].35","[0.1934,0.296]","Statistical_averaging_z","Tile.Type2",0.3032,0.4322,""
"[0.1934,0.296].36","[0.1934,0.296]","Statistical_averaging_z","S_mean_log_z",0.2029,0.0097,"**"
"[0.1934,0.296].37","[0.1934,0.296]","Statistical_averaging_z","Pielou_mean_z",0.3622,5e-04,"***"
"[0.1934,0.296].38","[0.1934,0.296]","Statistical_averaging_z","Barnacles1_mean_z",-0.1309,0.3698,""
"[0.1934,0.296].39","[0.1934,0.296]","Statistical_averaging_z","Barnacles2_mean_sqrt_z",0.0187,0.7987,""
"[0.1934,0.296].40","[0.1934,0.296]","Statistical_averaging_z","Consumer_mean_log_z",0.1061,0.0562,""
"[0.1934,0.296].41","[0.1934,0.296]","Statistical_averaging_z","Eph_macroalgae_mean_sqrt_z",0.0673,0.5879,""
"[0.1934,0.296].42","[0.1934,0.296]","Compositional_similarity_z","Emersion.Rate_z",0.3469,0.0829,""
"[0.1934,0.296].43","[0.1934,0.296]","Compositional_similarity_z","Tile.Type2",0.0545,0.8125,""
"[0.1934,0.296].44","[0.1934,0.296]","Compositional_similarity_z","Asynchrony_corr_time_z",0.2692,0.3076,""
"[0.1934,0.296].45","[0.1934,0.296]","Compositional_similarity_z","Pop_stab_log_z",0.668,0.0357,"*"
"[0.1934,0.296].46","[0.1934,0.296]","Compositional_similarity_z","Statistical_averaging_z",-0.0792,0.6905,""
"[0.1934,0.296].47","[0.1934,0.296]","Compositional_similarity_z","S_mean_log_z",-0.1568,0.2368,""
"[0.1934,0.296].48","[0.1934,0.296]","Compositional_similarity_z","Pielou_mean_z",-0.0916,0.5536,""
"[0.1934,0.296].49","[0.1934,0.296]","Compositional_similarity_z","Barnacles1_mean_z",0.4996,0.0296,"*"
"[0.1934,0.296].50","[0.1934,0.296]","Compositional_similarity_z","Barnacles2_mean_sqrt_z",0.5175,0,"***"
"[0.1934,0.296].51","[0.1934,0.296]","Compositional_similarity_z","Consumer_mean_log_z",0.2117,0.0092,"**"
"[0.1934,0.296].52","[0.1934,0.296]","Compositional_similarity_z","Eph_macroalgae_mean_sqrt_z",-0.6374,0.0055,"**"
"[0.1934,0.296].53","[0.1934,0.296]","Cover_stability_alpha_res_log_z","Emersion.Rate_z",0.0576,0.5377,""
"[0.1934,0.296].54","[0.1934,0.296]","Cover_stability_alpha_res_log_z","Tile.Type2",0.1187,0.1516,""
"[0.1934,0.296].55","[0.1934,0.296]","Cover_stability_alpha_res_log_z","Asynchrony_corr_time_z",0.3962,0.0012,"**"
"[0.1934,0.296].56","[0.1934,0.296]","Cover_stability_alpha_res_log_z","Pop_stab_log_z",0.1029,0.4159,""
