"","EmGroup","Response","Predictor","mean_estimate","lower_CI","upper_CI","Sig"
"1","[0.126,0.274)","","Barnacles1_mean_z",0.17515,-0.9580175,0.652365,"No"
"2","[0.126,0.274)","","Barnacles2_mean_sqrt_z",-0.0586,-0.5834725,0.7349725,"No"
"3","[0.126,0.274)","","Consumer_mean_log_z",0.0317333333333333,-0.8409,0.6739325,"No"
"4","[0.126,0.274)","","Emersion.Rate_z",-0.193222222222222,-0.4068125,0.137285,"No"
"5","[0.126,0.274)","","Eph_macroalgae_mean_sqrt_z",-0.150061111111111,-1.3113425,0.6133025,"No"
"6","[0.126,0.274)","","Pielou_mean_z",0.0670333333333333,-0.6396625,0.8774575,"No"
"7","[0.126,0.274)","","S_mean_log_z",0.486822222222222,-0.190145,0.9303825,"No"
"8","[0.126,0.274)","","Tile.Type2",0.0218055555555556,-0.31025,0.5380425,"No"
"9","[0.126,0.274)","Asynchrony_corr_time_z","Barnacles1_mean_z",0.479109283551968,0.1665,0.62,"Yes"
"10","[0.126,0.274)","Asynchrony_corr_time_z","Barnacles2_mean_sqrt_z",0.264617255297679,0.10935,0.3863,"Yes"
"11","[0.126,0.274)","Asynchrony_corr_time_z","Consumer_mean_log_z",-0.0542115035317861,-0.42265,0.175875,"No"
"12","[0.126,0.274)","Asynchrony_corr_time_z","Emersion.Rate_z",-0.26969687184662,-0.378325,-0.148825,"Yes"
"13","[0.126,0.274)","Asynchrony_corr_time_z","Eph_macroalgae_mean_sqrt_z",-0.248661150353179,-0.4131,-0.136175,"Yes"
"14","[0.126,0.274)","Asynchrony_corr_time_z","Pielou_mean_z",-0.400300908173562,-0.58635,-0.21805,"Yes"
"15","[0.126,0.274)","Asynchrony_corr_time_z","S_mean_log_z",0.715653985872856,0.3027,0.93725,"Yes"
"16","[0.126,0.274)","Asynchrony_corr_time_z","Tile.Type2",-0.168922199798184,-0.35345,-0.037175,"Yes"
"17","[0.126,0.274)","Barnacles1_mean_z","Consumer_mean_log_z",-0.1473836,-0.238435,-0.06919,"Yes"
"18","[0.126,0.274)","Barnacles1_mean_z","Emersion.Rate_z",0.3205681,0.094895,0.7795475,"Yes"
"19","[0.126,0.274)","Barnacles1_mean_z","Tile.Type2",-0.3726396,-0.5373175,-0.0836150000000001,"Yes"
"20","[0.126,0.274)","Barnacles2_mean_sqrt_z","Consumer_mean_log_z",0.0400079,-0.1386475,0.2142075,"No"
"21","[0.126,0.274)","Barnacles2_mean_sqrt_z","Emersion.Rate_z",0.160901,-0.0542675,0.3409075,"No"
"22","[0.126,0.274)","Barnacles2_mean_sqrt_z","Tile.Type2",0.0779568,0.0098875,0.1521125,"Yes"
"23","[0.126,0.274)","Compositional_similarity_z","Asynchrony_corr_time_z",0.0514642,0.0052825,0.0902225,"Yes"
"24","[0.126,0.274)","Compositional_similarity_z","Barnacles1_mean_z",-0.0785116,-0.6467275,0.2485,"No"
"25","[0.126,0.274)","Compositional_similarity_z","Barnacles2_mean_sqrt_z",0.2993609,0.231585,0.371385,"Yes"
"26","[0.126,0.274)","Compositional_similarity_z","Consumer_mean_log_z",0.2135793,0.1394975,0.26947,"Yes"
"27","[0.126,0.274)","Compositional_similarity_z","Emersion.Rate_z",0.1903845,0.0496975,0.5315375,"Yes"
"28","[0.126,0.274)","Compositional_similarity_z","Eph_macroalgae_mean_sqrt_z",-0.2394489,-0.2908075,-0.1732375,"Yes"
"29","[0.126,0.274)","Compositional_similarity_z","Pielou_mean_z",-0.0669282,-0.150005,0.0302,"No"
"30","[0.126,0.274)","Compositional_similarity_z","Pop_stab_log_z",0.1650787,0.1207,0.2095175,"Yes"
"31","[0.126,0.274)","Compositional_similarity_z","S_mean_log_z",-0.1544832,-0.2918325,-0.00218250000000002,"Yes"
"32","[0.126,0.274)","Compositional_similarity_z","Statistical_averaging_z",-0.0397777,-0.124205,0.0480475,"No"
