"","EmGroup","Response","Predictor","Std.Estimate","P.Value","Var.9"
"[0.383,0.589].1","[0.383,0.589]","Consumer_mean_log_z","Emersion.Rate_z",-0.2324,0.3285,""
"[0.383,0.589].2","[0.383,0.589]","Consumer_mean_log_z","Tile.Type2",-0.7293,0.0047,"**"
"[0.383,0.589].3","[0.383,0.589]","Barnacles1_mean_z","Emersion.Rate_z",0.1755,0.0282,"*"
"[0.383,0.589].4","[0.383,0.589]","Barnacles1_mean_z","Tile.Type2",-0.4184,0,"***"
"[0.383,0.589].5","[0.383,0.589]","Barnacles1_mean_z","Consumer_mean_log_z",-0.0439,0.2911,""
"[0.383,0.589].6","[0.383,0.589]","Barnacles2_mean_sqrt_z","Emersion.Rate_z",-0.1497,0.5753,""
"[0.383,0.589].7","[0.383,0.589]","Barnacles2_mean_sqrt_z","Tile.Type2",0.1257,0.3008,""
"[0.383,0.589].8","[0.383,0.589]","Barnacles2_mean_sqrt_z","Consumer_mean_log_z",0.0211,0.766,""
"[0.383,0.589].9","[0.383,0.589]","Eph_macroalgae_mean_sqrt_z","Emersion.Rate_z",-0.6288,0,"***"
"[0.383,0.589].10","[0.383,0.589]","Eph_macroalgae_mean_sqrt_z","Tile.Type2",-0.2151,0.0546,""
"[0.383,0.589].11","[0.383,0.589]","Eph_macroalgae_mean_sqrt_z","Consumer_mean_log_z",-0.1216,0.0264,"*"
"[0.383,0.589].12","[0.383,0.589]","S_mean_log_z","Emersion.Rate_z",-0.614,0,"***"
"[0.383,0.589].13","[0.383,0.589]","S_mean_log_z","Tile.Type2",0.2714,0.2274,""
"[0.383,0.589].14","[0.383,0.589]","S_mean_log_z","Consumer_mean_log_z",-0.1109,0.2318,""
"[0.383,0.589].15","[0.383,0.589]","Pielou_mean_z","Emersion.Rate_z",-0.4415,3e-04,"***"
"[0.383,0.589].16","[0.383,0.589]","Pielou_mean_z","Tile.Type2",0.396,0.0284,"*"
"[0.383,0.589].17","[0.383,0.589]","Pielou_mean_z","Consumer_mean_log_z",0.0303,0.6934,""
"[0.383,0.589].18","[0.383,0.589]","Pop_stab_log_z","Emersion.Rate_z",0.0794,0.3332,""
"[0.383,0.589].19","[0.383,0.589]","Pop_stab_log_z","Tile.Type2",0.3259,8e-04,"***"
"[0.383,0.589].20","[0.383,0.589]","Pop_stab_log_z","S_mean_log_z",-0.127,0.0107,"*"
"[0.383,0.589].21","[0.383,0.589]","Pop_stab_log_z","Pielou_mean_z",-0.0139,0.8118,""
"[0.383,0.589].22","[0.383,0.589]","Pop_stab_log_z","Barnacles1_mean_z",-0.1871,0.0345,"*"
"[0.383,0.589].23","[0.383,0.589]","Pop_stab_log_z","Barnacles2_mean_sqrt_z",0.1315,0.0037,"**"
"[0.383,0.589].24","[0.383,0.589]","Pop_stab_log_z","Consumer_mean_log_z",-0.001,0.9753,""
"[0.383,0.589].25","[0.383,0.589]","Pop_stab_log_z","Eph_macroalgae_mean_sqrt_z",-0.3952,0,"***"
"[0.383,0.589].26","[0.383,0.589]","Asynchrony_corr_time_z","Emersion.Rate_z",-0.2376,0.0227,"*"
"[0.383,0.589].27","[0.383,0.589]","Asynchrony_corr_time_z","Tile.Type2",-0.0964,0.34,""
"[0.383,0.589].28","[0.383,0.589]","Asynchrony_corr_time_z","S_mean_log_z",0.1586,0.007,"**"
"[0.383,0.589].29","[0.383,0.589]","Asynchrony_corr_time_z","Pielou_mean_z",-0.126,0.072,""
"[0.383,0.589].30","[0.383,0.589]","Asynchrony_corr_time_z","Barnacles1_mean_z",0.3343,0.0033,"**"
"[0.383,0.589].31","[0.383,0.589]","Asynchrony_corr_time_z","Barnacles2_mean_sqrt_z",0.0986,0.0715,""
