"","EmGroup","Response","Predictor","Std.Estimate","P.Value","Var.9"
"[0.383,0.589].1","[0.383,0.589]","Limpet_mean_log_z","Emersion.Rate_z",-0.2255,0.3445,""
"[0.383,0.589].2","[0.383,0.589]","Limpet_mean_log_z","Tile.Type2",-0.7189,0.0059,"**"
"[0.383,0.589].3","[0.383,0.589]","Barnacles1_mean_z","Emersion.Rate_z",0.0121,0.959,""
"[0.383,0.589].4","[0.383,0.589]","Barnacles1_mean_z","Tile.Type2",-0.422,0,"***"
"[0.383,0.589].5","[0.383,0.589]","Barnacles1_mean_z","Limpet_mean_log_z",-0.0493,0.2307,""
"[0.383,0.589].6","[0.383,0.589]","Barnacles2_mean_sqrt_z","Emersion.Rate_z",-0.152,0.5692,""
"[0.383,0.589].7","[0.383,0.589]","Barnacles2_mean_sqrt_z","Tile.Type2",0.1192,0.3266,""
"[0.383,0.589].8","[0.383,0.589]","Barnacles2_mean_sqrt_z","Limpet_mean_log_z",0.012,0.8637,""
"[0.383,0.589].9","[0.383,0.589]","Eph_macroalgae_mean_sqrt_z","Emersion.Rate_z",-0.6203,0,"***"
"[0.383,0.589].10","[0.383,0.589]","Eph_macroalgae_mean_sqrt_z","Tile.Type2",-0.2036,0.0706,""
"[0.383,0.589].11","[0.383,0.589]","Eph_macroalgae_mean_sqrt_z","Limpet_mean_log_z",-0.1074,0.0476,"*"
"[0.383,0.589].12","[0.383,0.589]","S_mean_log_z","Emersion.Rate_z",-0.6069,0,"***"
"[0.383,0.589].13","[0.383,0.589]","S_mean_log_z","Tile.Type2",0.2728,0.2267,""
"[0.383,0.589].14","[0.383,0.589]","S_mean_log_z","Limpet_mean_log_z",-0.0998,0.2783,""
"[0.383,0.589].15","[0.383,0.589]","Pielou_mean_z","Emersion.Rate_z",-0.4391,3e-04,"***"
"[0.383,0.589].16","[0.383,0.589]","Pielou_mean_z","Tile.Type2",0.402,0.0263,"*"
"[0.383,0.589].17","[0.383,0.589]","Pielou_mean_z","Limpet_mean_log_z",0.039,0.6085,""
"[0.383,0.589].18","[0.383,0.589]","Pop_stab_log_z","Emersion.Rate_z",0.0817,0.316,""
"[0.383,0.589].19","[0.383,0.589]","Pop_stab_log_z","Tile.Type2",0.3306,7e-04,"***"
"[0.383,0.589].20","[0.383,0.589]","Pop_stab_log_z","S_mean_log_z",-0.1257,0.0114,"*"
"[0.383,0.589].21","[0.383,0.589]","Pop_stab_log_z","Pielou_mean_z",-0.0154,0.7917,""
"[0.383,0.589].22","[0.383,0.589]","Pop_stab_log_z","Barnacles1_mean_z",-0.185,0.0375,"*"
"[0.383,0.589].23","[0.383,0.589]","Pop_stab_log_z","Barnacles2_mean_sqrt_z",0.1332,0.0034,"**"
"[0.383,0.589].24","[0.383,0.589]","Pop_stab_log_z","Limpet_mean_log_z",0.0049,0.8832,""
"[0.383,0.589].25","[0.383,0.589]","Pop_stab_log_z","Eph_macroalgae_mean_sqrt_z",-0.3913,0,"***"
"[0.383,0.589].26","[0.383,0.589]","Asynchrony_corr_time_z","Emersion.Rate_z",-0.2365,0.022,"*"
"[0.383,0.589].27","[0.383,0.589]","Asynchrony_corr_time_z","Tile.Type2",-0.0964,0.3411,""
"[0.383,0.589].28","[0.383,0.589]","Asynchrony_corr_time_z","S_mean_log_z",0.1587,0.0068,"**"
"[0.383,0.589].29","[0.383,0.589]","Asynchrony_corr_time_z","Pielou_mean_z",-0.1259,0.0722,""
"[0.383,0.589].30","[0.383,0.589]","Asynchrony_corr_time_z","Barnacles1_mean_z",0.3336,0.0035,"**"
