"","EmGroup","Response","Predictor","Std.Estimate","P.Value","Var.9"
"[0.383,0.589].1","[0.383,0.589]","Consumer_mean_log_z","Emersion.Rate_z",-0.2324,0.3285,""
"[0.383,0.589].2","[0.383,0.589]","Consumer_mean_log_z","Tile.Type2",-0.7293,0.0047,"**"
"[0.383,0.589].3","[0.383,0.589]","Barnacles1_mean_z","Emersion.Rate_z",0.1755,0.0282,"*"
"[0.383,0.589].4","[0.383,0.589]","Barnacles1_mean_z","Tile.Type2",-0.4184,0,"***"
"[0.383,0.589].5","[0.383,0.589]","Barnacles1_mean_z","Consumer_mean_log_z",-0.0439,0.2911,""
"[0.383,0.589].6","[0.383,0.589]","Barnacles2_mean_sqrt_z","Emersion.Rate_z",-0.1497,0.5753,""
"[0.383,0.589].7","[0.383,0.589]","Barnacles2_mean_sqrt_z","Tile.Type2",0.1257,0.3008,""
"[0.383,0.589].8","[0.383,0.589]","Barnacles2_mean_sqrt_z","Consumer_mean_log_z",0.0211,0.766,""
"[0.383,0.589].9","[0.383,0.589]","Eph_macroalgae_mean_sqrt_z","Emersion.Rate_z",-0.6288,0,"***"
"[0.383,0.589].10","[0.383,0.589]","Eph_macroalgae_mean_sqrt_z","Tile.Type2",-0.2151,0.0546,""
"[0.383,0.589].11","[0.383,0.589]","Eph_macroalgae_mean_sqrt_z","Consumer_mean_log_z",-0.1216,0.0264,"*"
"[0.383,0.589].12","[0.383,0.589]","S_mean_log_z","Emersion.Rate_z",-0.614,0,"***"
"[0.383,0.589].13","[0.383,0.589]","S_mean_log_z","Tile.Type2",0.2714,0.2274,""
"[0.383,0.589].14","[0.383,0.589]","S_mean_log_z","Consumer_mean_log_z",-0.1109,0.2318,""
"[0.383,0.589].15","[0.383,0.589]","Pop_stab_log_z","Emersion.Rate_z",0.0827,0.3031,""
"[0.383,0.589].16","[0.383,0.589]","Pop_stab_log_z","Tile.Type2",0.3249,7e-04,"***"
"[0.383,0.589].17","[0.383,0.589]","Pop_stab_log_z","S_mean_log_z",-0.1323,0.0029,"**"
"[0.383,0.589].18","[0.383,0.589]","Pop_stab_log_z","Barnacles1_mean_z",-0.1864,0.0336,"*"
"[0.383,0.589].19","[0.383,0.589]","Pop_stab_log_z","Barnacles2_mean_sqrt_z",0.1313,0.0034,"**"
"[0.383,0.589].20","[0.383,0.589]","Pop_stab_log_z","Consumer_mean_log_z",-0.0021,0.948,""
"[0.383,0.589].21","[0.383,0.589]","Pop_stab_log_z","Eph_macroalgae_mean_sqrt_z",-0.3946,0,"***"
"[0.383,0.589].22","[0.383,0.589]","Asynchrony_corr_time_z","Emersion.Rate_z",-0.2016,0.0524,""
"[0.383,0.589].23","[0.383,0.589]","Asynchrony_corr_time_z","Tile.Type2",-0.1053,0.3027,""
"[0.383,0.589].24","[0.383,0.589]","Asynchrony_corr_time_z","S_mean_log_z",0.1092,0.0296,"*"
"[0.383,0.589].25","[0.383,0.589]","Asynchrony_corr_time_z","Barnacles1_mean_z",0.3275,0.0047,"**"
"[0.383,0.589].26","[0.383,0.589]","Asynchrony_corr_time_z","Barnacles2_mean_sqrt_z",0.0951,0.0905,""
"[0.383,0.589].27","[0.383,0.589]","Asynchrony_corr_time_z","Consumer_mean_log_z",-0.0154,0.6979,""
"[0.383,0.589].28","[0.383,0.589]","Asynchrony_corr_time_z","Eph_macroalgae_mean_sqrt_z",-0.1277,0.1736,""
"[0.383,0.589].29","[0.383,0.589]","Compositional_similarity_z","Emersion.Rate_z",-0.2125,0.0521,""
"[0.383,0.589].30","[0.383,0.589]","Compositional_similarity_z","Tile.Type2",0.0496,0.8282,""
